,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1972,2525.2,4575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
1,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1973,4908.5,7382.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
2,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1974,3464.1,5365.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
3,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1975,4413.4,7531.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
4,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1976,3401.7,5699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
5,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1977,3527.4,6176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
6,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1978,4782.0,8315.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
7,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1979,4786.5,7096.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
8,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1980,3468.8,5840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
9,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1981,5726.8,8244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
10,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1982,3258.0,5951.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
11,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1983,5776.4,8258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
12,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1984,3358.48,4687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
13,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1985,6072.32,8242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
14,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1986,4426.18,6035.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
15,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1987,4456.09,6141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
16,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1988,5661.98,8199.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
17,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1989,4280.44,6428.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
18,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1990,5345.56,7276.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
19,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1991,3549.53,4882.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
20,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1992,4166.14,6158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
21,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1993,5042.49,6902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
22,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1994,1670.17,2526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
23,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1995,5886.21,7934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
24,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1996,2680.59,3769.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
25,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1997,5565.46,7764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
26,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1998,3142.88,4299.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
27,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,1999,6337.59,8210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
28,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2000,6168.07,8242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
29,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2001,6710.87,8691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
30,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2002,5709.52,7564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
31,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2003,6810.25,8013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
32,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2004,6502.77,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
33,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2005,6281.05,7875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
34,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2006,6747.25,8161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
35,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2007,6951.04,8212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
36,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2008,7490.09,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
37,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2009,6230.78,7879.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
38,UNITED STATES OF AMERICA,QUAD CITIES-1,BWR,Operational,2010,7646.11,8698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=615
