,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1973,218.4,2855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
2,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1974,667.6,4690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
3,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1975,599.7,3817.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
4,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1976,801.9,5728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
5,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1977,456.9,3312.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
6,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1978,153.2,1537.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
7,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1979,1147.3,7217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
8,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1980,953.1,6346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
9,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1981,441.5,3732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
10,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1982,38.2,496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
11,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1983,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
12,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1984,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
13,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1985,226.25,1914.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
14,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1986,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
15,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1987,169.85,2555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
16,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1988,376.48,5793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
17,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1989,312.82,4779.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
18,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1990,364.06,5789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
19,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1991,197.54,2858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
20,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1992,57.68,1070.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
21,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1993,167.63,2435.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
22,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1994,2.91,195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
23,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1995,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
24,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1996,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
25,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1997,264.64,2792.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
26,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1998,567.36,5448.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
27,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,1999,795.02,6443.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
28,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2000,681.33,5008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
29,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2001,173.19,860.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
30,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2002,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
31,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2003,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
32,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2004,303.83,3785.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
33,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2005,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
34,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2006,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
35,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2007,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
36,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
37,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2009,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
38,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2010,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
39,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2011,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
40,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
41,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
42,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
43,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
44,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
45,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
46,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
47,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
48,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2020,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
49,INDIA,RAJASTHAN-1,PHWR,Suspended Operation,2021,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=302
