,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1974,197.4,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
1,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1975,2510.3,3528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
2,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1976,2205.0,2662.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
3,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1977,5873.5,6748.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
4,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1978,4983.9,7046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
5,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1979,5711.9,6775.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
6,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1980,4414.9,5301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
7,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1981,2631.1,3522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
8,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1982,3366.5,4668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
9,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1983,2850.7,4101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
10,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1984,3767.55,5116.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
11,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1985,1936.24,2699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
12,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1986,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
13,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1987,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
14,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1988,2852.15,5227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
15,UNITED STATES OF AMERICA,RANCHO SECO-1,PWR,Permanent Shutdown,1989,1446.09,2214.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=651
