,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1974,183.9,679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
1,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1975,3121.4,5126.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
2,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1976,4213.0,6167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
3,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1977,4114.4,6402.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
4,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1978,4094.4,6772.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
5,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1979,3585.3,5541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
6,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1980,4336.9,5824.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
7,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1981,4093.2,6216.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
8,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1982,4548.0,5922.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
9,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1983,3935.3,6107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
10,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1984,4178.68,6090.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
11,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1985,4294.66,6680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
12,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1986,3969.11,6383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
13,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1987,4216.58,7397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
14,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1988,4216.13,7368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
15,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1989,3619.61,6002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
16,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1990,5064.76,6348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
17,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1991,6232.85,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
18,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1992,5193.38,6959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
19,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1993,2650.0,3307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
20,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1994,6258.71,7429.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
21,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1995,6096.64,7676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
22,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1996,5723.31,7574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
23,SWEDEN,RINGHALS-2,PWR,Permanent Shutdown,1997,6175.12,7927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=537
