,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1985,22.56,180.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
1,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1986,2995.44,4221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
2,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1987,4964.44,5836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
3,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1988,7248.98,8149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
4,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1989,4785.01,5853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
5,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1990,5592.55,6642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
6,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1991,6687.2,7507.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
7,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1992,2762.68,3210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
8,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1993,5257.87,6076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
9,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1994,4886.23,5455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
10,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1995,7930.81,8704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
11,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1996,6860.33,7391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
12,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1997,6822.66,7427.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
13,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1998,7833.5,8404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
14,UNITED STATES OF AMERICA,RIVER BEND-1,BWR,Operational,1999,5704.78,6476.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=739
