,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UKRAINE,RIVNE-3,PWR,Operational,1986,43.15,264.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
1,UKRAINE,RIVNE-3,PWR,Operational,1987,5202.19,6485.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
2,UKRAINE,RIVNE-3,PWR,Operational,1988,5661.32,6357.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
3,UKRAINE,RIVNE-3,PWR,Operational,1989,6046.1,6771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
4,UKRAINE,RIVNE-3,PWR,Operational,1990,6360.06,6981.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
5,UKRAINE,RIVNE-3,PWR,Operational,1991,5454.79,5971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
6,UKRAINE,RIVNE-3,PWR,Operational,1992,7084.94,7323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
7,UKRAINE,RIVNE-3,PWR,Operational,1993,6195.07,6861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
8,UKRAINE,RIVNE-3,PWR,Operational,1994,5574.71,6042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
9,UKRAINE,RIVNE-3,PWR,Operational,1995,5018.27,5500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
10,UKRAINE,RIVNE-3,PWR,Operational,1996,5550.91,6064.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
11,UKRAINE,RIVNE-3,PWR,Operational,1997,6249.62,6730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
12,UKRAINE,RIVNE-3,PWR,Operational,1998,5603.5,6036.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
13,UKRAINE,RIVNE-3,PWR,Operational,1999,5303.46,6342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
14,UKRAINE,RIVNE-3,PWR,Operational,2000,4991.27,5641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
15,UKRAINE,RIVNE-3,PWR,Operational,2001,5783.63,6387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
16,UKRAINE,RIVNE-3,PWR,Operational,2002,5562.59,6320.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
17,UKRAINE,RIVNE-3,PWR,Operational,2003,6250.46,6815.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
18,UKRAINE,RIVNE-3,PWR,Operational,2004,6693.27,7321.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
19,UKRAINE,RIVNE-3,PWR,Operational,2005,4768.06,6158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
20,UKRAINE,RIVNE-3,PWR,Operational,2006,4614.03,6777.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=572
