,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1971,2538.6,4078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
2,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1972,5082.4,7487.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
3,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1973,3765.5,6591.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
4,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1974,4813.1,7297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
5,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1975,4170.9,6316.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
6,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1976,4874.2,7435.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
7,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1977,4130.2,7462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
8,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1978,3980.0,6307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
9,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1979,4005.1,6172.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
10,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1980,3210.9,5464.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
11,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1981,3510.8,6391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
12,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1982,2268.4,4278.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
13,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1983,3347.5,6609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
14,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1984,224.28,615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
15,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1985,5239.91,7697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
16,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1986,4799.6,7028.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
17,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1987,4235.47,6224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
18,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1988,3182.43,5717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
19,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1989,2790.53,4107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
20,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1990,3319.19,5614.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
21,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1991,4792.24,7048.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
22,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1992,4062.91,5812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
23,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1993,4193.27,6137.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
24,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1994,4655.06,6845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
25,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1995,5033.83,7356.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
26,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1996,5460.1,7745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
27,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1997,6197.59,8662.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
28,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1998,5505.56,7751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
29,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,1999,5684.48,8009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
30,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2000,6237.08,8750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
31,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2001,5515.04,7919.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
32,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2002,5606.11,7960.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
33,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2003,6439.9,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
34,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2004,5742.21,7811.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
35,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2005,5770.14,7839.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
36,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2006,6442.7,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
37,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2007,5737.92,7825.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
38,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2008,5429.26,7380.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
39,UNITED STATES OF AMERICA,ROBINSON-2,PWR,Operational,2009,6473.19,8667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=619
