,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
9,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1971,119.3,5408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
10,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1972,69.4,2984.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
11,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1973,103.0,5191.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
12,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1974,158.3,7407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
13,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1975,153.2,7379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
14,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1976,177.0,8215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
15,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1977,133.9,6348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
16,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1978,136.7,6506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
17,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1979,76.7,4652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
18,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1980,167.9,7811.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
19,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1981,132.3,6438.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
20,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1982,154.1,7423.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
21,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1983,149.1,7142.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
22,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1984,122.64,6206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
23,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1985,113.73,5889.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
24,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1986,146.22,7439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
25,CANADA,ROLPHTON NPD,PHWR,Permanent Shutdown,1987,55.51,2843.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=29
