,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,ROSTOV-3,PWR,Operational,2014,16.28,68.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
1,RUSSIA,ROSTOV-3,PWR,Operational,2015,5132.22,7040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
2,RUSSIA,ROSTOV-3,PWR,Operational,2016,6110.0,6728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
3,RUSSIA,ROSTOV-3,PWR,Operational,2017,6422.53,6888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
4,RUSSIA,ROSTOV-3,PWR,Operational,2018,7709.57,7962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
5,RUSSIA,ROSTOV-3,PWR,Operational,2019,7360.63,7848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
6,RUSSIA,ROSTOV-3,PWR,Operational,2020,7651.88,8081.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
7,RUSSIA,ROSTOV-3,PWR,Operational,2021,7615.55,8010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
8,RUSSIA,ROSTOV-3,PWR,Operational,2022,8018.57,8016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
9,RUSSIA,ROSTOV-3,PWR,Operational,2023,7755.53,7783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
10,RUSSIA,ROSTOV-3,PWR,Operational,2024,8001.65,8027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=506
