,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1976,3.2,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
1,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1977,3398.2,2432.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
2,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1978,4537.0,4862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
3,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1979,2084.3,2231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
4,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1980,5689.8,6075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
5,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1981,6191.3,6839.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
6,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1982,4107.4,4192.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
7,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1983,5408.8,5127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
8,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1984,2160.15,2378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
9,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1985,9007.51,8345.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
10,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1986,7084.01,6921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
11,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1987,6216.61,6362.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
12,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1988,7418.56,6841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
13,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1989,6213.35,6059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
14,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1990,5999.21,5868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
15,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1991,6810.28,6479.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
16,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1992,5307.84,5090.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
17,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1993,5870.6,5746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
18,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1994,5779.31,5865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
19,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1995,2554.43,2632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
20,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1996,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
21,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
22,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1998,6475.62,6199.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
23,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,1999,8009.17,7663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
24,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,2000,8952.64,8328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
25,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,2001,7709.42,7116.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
26,UNITED STATES OF AMERICA,SALEM-1,PWR,Operational,2002,8620.57,7855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=627
