,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1983,997.2,1642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
1,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1984,4666.73,4708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
2,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1985,3735.87,4708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
3,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1986,6760.59,7067.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
4,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1987,7523.55,6987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
5,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1988,6146.03,5714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
6,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1989,8840.64,8224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
7,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1990,6602.04,6159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
8,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1991,8693.2,8094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
9,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1992,6830.79,6533.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
10,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1993,7128.24,6689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
11,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1994,9147.69,8742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
12,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1995,7501.59,7175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
13,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1996,8838.64,8313.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
14,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1997,6842.93,6357.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
15,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1998,9058.6,8304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
16,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,1999,8416.47,7658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
17,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,2000,9633.76,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
18,UNITED STATES OF AMERICA,SAN ONOFRE-3,PWR,Permanent Shutdown,2001,5679.29,5170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=684
