,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1971,1516.5,4632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
1,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1972,2668.9,6683.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
2,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1973,2351.7,6532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
3,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1974,2237.8,6456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
4,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1975,2746.8,7079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
5,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1976,2859.9,7039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
6,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1977,1815.1,4743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
7,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1978,3111.1,7409.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
8,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1979,2339.4,5786.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
9,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1980,780.8,1926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
10,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1981,3178.7,7597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
11,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1982,2044.1,5132.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
12,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1983,2322.1,5630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
13,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1984,2873.47,6853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
14,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1985,1731.01,4285.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
15,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1986,3413.61,8173.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
16,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1987,2565.12,6205.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
17,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1988,2693.31,6639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
18,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1989,3515.79,8324.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
19,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1990,2558.58,6297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
20,SPAIN,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,1991,3678.28,8528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=149
