,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1990,4094.0,4125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
1,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1991,6814.38,6394.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
2,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1992,7868.44,7056.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
3,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1993,9046.81,8094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
4,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1994,6203.5,5466.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
5,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1995,8380.64,7465.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
6,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1996,9844.19,8690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
7,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1997,7945.7,6929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
8,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1998,8388.43,7294.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
9,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,1999,8685.71,7564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
10,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2000,7921.49,6910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
11,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2001,8692.24,7703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
12,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2002,9293.37,8083.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
13,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2003,9275.43,8121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
14,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2004,10176.97,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
15,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2005,9455.21,7928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
16,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2006,9397.4,7718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
17,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2007,10763.88,8669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
18,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2008,9349.64,7596.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
19,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2009,8816.67,7326.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
20,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2010,10910.05,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
21,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2011,8361.74,6959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
22,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2012,8188.86,7689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
23,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2013,10926.11,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
24,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2014,10167.58,8190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
25,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2015,9483.63,7705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
26,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2016,10760.55,8667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
27,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2017,9990.27,8033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
28,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2018,10061.27,8093.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
29,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2019,10906.28,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
30,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2020,9865.2,7961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
31,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2021,9660.02,7932.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
32,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2022,10921.11,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
33,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2023,9534.37,7726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
34,UNITED STATES OF AMERICA,SEABROOK-1,PWR,Operational,2024,9676.41,7866.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=727
