,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,SENDAI-1,PWR,Operational,1983,666.3,1760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
1,JAPAN,SENDAI-1,PWR,Operational,1984,6069.77,7487.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
2,JAPAN,SENDAI-1,PWR,Operational,1985,5890.27,6964.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
3,JAPAN,SENDAI-1,PWR,Operational,1986,6084.02,7224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
4,JAPAN,SENDAI-1,PWR,Operational,1987,6113.36,7261.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
5,JAPAN,SENDAI-1,PWR,Operational,1988,5683.09,6756.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
6,JAPAN,SENDAI-1,PWR,Operational,1989,7381.33,8641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
7,JAPAN,SENDAI-1,PWR,Operational,1990,6154.95,7307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
8,JAPAN,SENDAI-1,PWR,Operational,1991,5590.69,6684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
9,JAPAN,SENDAI-1,PWR,Operational,1992,5713.89,6780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
10,JAPAN,SENDAI-1,PWR,Operational,1993,6619.24,7753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
11,JAPAN,SENDAI-1,PWR,Operational,1994,5778.34,6762.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
12,JAPAN,SENDAI-1,PWR,Operational,1995,5780.32,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
13,JAPAN,SENDAI-1,PWR,Operational,1996,5185.37,6157.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
14,JAPAN,SENDAI-1,PWR,Operational,1997,7216.68,8449.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
15,JAPAN,SENDAI-1,PWR,Operational,1998,5291.22,6311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
16,JAPAN,SENDAI-1,PWR,Operational,1999,6057.57,7082.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
17,JAPAN,SENDAI-1,PWR,Operational,2000,5654.0,6609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
18,JAPAN,SENDAI-1,PWR,Operational,2001,7367.04,8614.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
19,JAPAN,SENDAI-1,PWR,Operational,2002,6323.03,7333.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
20,JAPAN,SENDAI-1,PWR,Operational,2003,6282.06,7278.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
21,JAPAN,SENDAI-1,PWR,Operational,2004,6080.79,7043.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
22,JAPAN,SENDAI-1,PWR,Operational,2005,7155.81,8305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
23,JAPAN,SENDAI-1,PWR,Operational,2006,6436.58,7330.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
24,JAPAN,SENDAI-1,PWR,Operational,2007,5868.86,6660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
25,JAPAN,SENDAI-1,PWR,Operational,2008,5665.09,6396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
26,JAPAN,SENDAI-1,PWR,Operational,2009,7880.1,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
27,JAPAN,SENDAI-1,PWR,Operational,2010,4919.57,5571.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
28,JAPAN,SENDAI-1,PWR,Operational,2011,2823.75,3097.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
29,JAPAN,SENDAI-1,PWR,Operational,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
30,JAPAN,SENDAI-1,PWR,Operational,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
31,JAPAN,SENDAI-1,PWR,Operational,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
32,JAPAN,SENDAI-1,PWR,Operational,2015,2893.82,3351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
33,JAPAN,SENDAI-1,PWR,Operational,2016,6452.27,7188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
34,JAPAN,SENDAI-1,PWR,Operational,2017,8007.73,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
35,JAPAN,SENDAI-1,PWR,Operational,2018,5186.62,5756.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
36,JAPAN,SENDAI-1,PWR,Operational,2019,6434.71,7058.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
37,JAPAN,SENDAI-1,PWR,Operational,2020,2552.25,2818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
38,JAPAN,SENDAI-1,PWR,Operational,2021,6563.52,7215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
39,JAPAN,SENDAI-1,PWR,Operational,2022,8012.33,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
40,JAPAN,SENDAI-1,PWR,Operational,2023,6502.42,7167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
41,JAPAN,SENDAI-1,PWR,Operational,2024,6329.23,6951.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=353
