,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1981,1.9,14.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
1,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1982,5207.56,5881.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
2,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1983,6691.4,6346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
3,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1984,6403.27,6112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
4,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1985,5624.97,5223.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
5,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1986,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
6,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1987,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
7,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1988,3934.7,5097.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
8,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1989,6067.7,6103.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
9,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1990,7185.46,6864.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
10,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1991,9318.89,8482.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
11,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1992,7276.08,7031.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
12,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1993,2094.36,2213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
13,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1994,5849.36,5415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
14,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1995,8887.69,8064.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
15,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1996,7682.5,6894.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
16,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1997,8725.64,8001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
17,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1998,9799.59,8656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
18,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,1999,8978.97,8203.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
19,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2000,9058.27,8158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
20,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2001,9939.87,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
21,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2002,8542.04,7640.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
22,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2003,8258.27,7401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
23,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2004,9464.89,8353.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
24,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2005,8922.57,7867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
25,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2006,8914.65,7931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
26,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2007,9892.4,8692.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
27,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2008,8752.56,7749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
28,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2009,8792.36,7837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
29,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2010,9536.67,8573.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
30,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2011,8799.53,8016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
31,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2012,7640.46,6866.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
32,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2013,9661.1,8519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
33,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2014,8840.63,7867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
34,UNITED STATES OF AMERICA,SEQUOYAH-2,PWR,Operational,2015,8739.59,7849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=664
