,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,SHIKA-1,BWR,Suspended Operation,1993,2834.34,6576.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
1,JAPAN,SHIKA-1,BWR,Suspended Operation,1994,3312.39,6584.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
2,JAPAN,SHIKA-1,BWR,Suspended Operation,1995,3497.23,6974.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
3,JAPAN,SHIKA-1,BWR,Suspended Operation,1996,3454.7,6848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
4,JAPAN,SHIKA-1,BWR,Suspended Operation,1997,4431.84,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
5,JAPAN,SHIKA-1,BWR,Suspended Operation,1998,3530.63,7047.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
6,JAPAN,SHIKA-1,BWR,Suspended Operation,1999,3325.67,6607.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
7,JAPAN,SHIKA-1,BWR,Suspended Operation,2000,3763.08,7462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
8,JAPAN,SHIKA-1,BWR,Suspended Operation,2001,4427.41,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
9,JAPAN,SHIKA-1,BWR,Suspended Operation,2002,3537.07,7010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
10,JAPAN,SHIKA-1,BWR,Suspended Operation,2003,1523.8,3029.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
11,JAPAN,SHIKA-1,BWR,Suspended Operation,2004,3534.94,6958.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
12,JAPAN,SHIKA-1,BWR,Suspended Operation,2005,4203.8,8226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
13,JAPAN,SHIKA-1,BWR,Suspended Operation,2006,2908.09,5777.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
14,JAPAN,SHIKA-1,BWR,Suspended Operation,2007,908.38,1778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
15,JAPAN,SHIKA-1,BWR,Suspended Operation,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
16,JAPAN,SHIKA-1,BWR,Suspended Operation,2009,3247.93,6367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
17,JAPAN,SHIKA-1,BWR,Suspended Operation,2010,3191.56,6287.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
18,JAPAN,SHIKA-1,BWR,Suspended Operation,2011,729.57,1416.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
19,JAPAN,SHIKA-1,BWR,Suspended Operation,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
20,JAPAN,SHIKA-1,BWR,Suspended Operation,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
21,JAPAN,SHIKA-1,BWR,Suspended Operation,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
22,JAPAN,SHIKA-1,BWR,Suspended Operation,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
23,JAPAN,SHIKA-1,BWR,Suspended Operation,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
24,JAPAN,SHIKA-1,BWR,Suspended Operation,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
25,JAPAN,SHIKA-1,BWR,Suspended Operation,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
26,JAPAN,SHIKA-1,BWR,Suspended Operation,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
27,JAPAN,SHIKA-1,BWR,Suspended Operation,2020,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
28,JAPAN,SHIKA-1,BWR,Suspended Operation,2021,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=375
