,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1973,43.0,430.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
1,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1974,3006.4,7279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
2,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1975,2946.1,7010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
3,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1976,2802.9,6697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
4,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1977,1879.1,4489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
5,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1978,2701.8,6394.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
6,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1979,2623.6,6341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
7,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1980,2734.6,6466.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
8,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1981,2293.1,5430.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
9,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1982,2366.8,5499.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
10,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1983,2696.1,6268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
11,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1984,2990.69,6912.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
12,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1985,3790.4,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
13,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1986,2130.53,4903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
14,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1987,3011.22,6937.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
15,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1988,2355.11,5398.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
16,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1989,2616.31,5965.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
17,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1990,3745.51,8565.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
18,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1991,3111.32,7123.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
19,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1992,2671.29,6134.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
20,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1993,2549.09,5849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
21,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1994,2948.02,6733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
22,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1995,2984.63,6862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
23,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1996,2245.47,5154.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
24,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1997,2923.56,6712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
25,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1998,3845.36,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
26,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,1999,3359.32,7657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
27,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2000,1381.16,3149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
28,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2001,2844.61,6488.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
29,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2002,3393.22,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
30,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2003,2748.99,6253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
31,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2004,3937.86,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
32,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2005,2382.28,5349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
33,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2006,2699.47,6025.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
34,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2007,2866.64,6441.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
35,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2008,2738.45,6142.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
36,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2009,2533.19,5667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
37,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2010,969.91,2151.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
38,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2011,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
39,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
40,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
41,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
42,JAPAN,SHIMANE-1,BWR,Permanent Shutdown,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=387
