,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2010,1018.06,2051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
1,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2011,7867.03,8008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
2,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2012,7091.41,7220.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
3,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2013,2328.1,2338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
4,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2014,7419.09,7497.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
5,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2015,7565.55,7656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
6,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2016,8729.83,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
7,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2017,508.5,538.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
8,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2018,6997.79,7107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
9,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2019,6500.05,6602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
10,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2020,7895.37,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
11,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2021,6828.96,6949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
12,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2022,7467.99,7519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
13,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2023,8723.34,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
14,"KOREA, REPUBLIC OF",SHIN-KORI-1,PWR,Operational,2024,7581.35,7686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=864
