,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2015,5169.24,5821.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
1,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2016,7223.89,7328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
2,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2017,6234.2,6298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
3,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2018,6712.82,6783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
4,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2019,6544.76,6622.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
5,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2020,8729.35,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
6,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2021,7600.23,7733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
7,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2022,7296.9,7433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
8,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2023,8627.32,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
9,"KOREA, REPUBLIC OF",SHIN-WOLSONG-2,PWR,Operational,2024,6540.54,6667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=884
