,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
4,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1970,1815.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
5,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1971,1934.3,8690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
6,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1972,1632.7,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
7,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1973,1455.15,7975.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
8,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1974,1558.0,8719.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
9,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1975,1712.0,8675.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
10,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1976,1701.5,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
11,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1977,1662.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
12,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1978,1686.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
13,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1979,1655.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
14,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1980,1396.0,8694.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
15,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1981,1065.5,8735.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
16,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1982,944.5,8659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
17,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1983,1575.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
18,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1984,922.5,7256.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
19,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1985,1344.41,8691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
20,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1986,995.27,8660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
21,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1987,1379.98,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
22,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1988,1336.28,8530.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
23,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1989,1297.52,8433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
24,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1990,1345.86,8016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
25,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1991,1373.18,8655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
26,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1992,1133.39,8077.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
27,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1993,1511.71,8730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
28,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1994,1687.87,8125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
29,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1995,1260.33,6191.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
30,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1996,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
31,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
32,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1998,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
33,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,1999,1238.02,6163.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
34,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2000,1809.11,8688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
35,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2001,1243.53,5820.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
36,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2002,1669.42,8069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
37,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2003,1419.54,6943.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
38,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2004,1710.64,8608.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
39,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2005,1521.22,7462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
40,UNITED KINGDOM,SIZEWELL A-2,GCR,Permanent Shutdown,2006,1720.37,8393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=236
