,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED KINGDOM,SIZEWELL B,PWR,Operational,1995,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
1,UNITED KINGDOM,SIZEWELL B,PWR,Operational,1996,8488.47,7367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
2,UNITED KINGDOM,SIZEWELL B,PWR,Operational,1997,8469.81,6992.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
3,UNITED KINGDOM,SIZEWELL B,PWR,Operational,1998,10123.09,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
4,UNITED KINGDOM,SIZEWELL B,PWR,Operational,1999,7959.01,7134.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
5,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2000,8527.18,7612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
6,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2001,9197.96,7784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
7,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2002,9195.04,7862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
8,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2003,8854.19,7613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
9,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2004,9329.11,8685.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
10,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2005,8696.25,7476.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
11,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2006,8908.26,7570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
12,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2007,10264.31,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
13,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2008,9301.23,8097.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
14,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2009,9094.88,7863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
15,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2010,4774.8,4032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
16,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2011,8627.4,7463.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
17,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2012,9346.24,8348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
18,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2013,8714.72,7612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
19,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2014,8828.14,7589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
20,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2015,10507.34,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
21,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2016,8626.7,7280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
22,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2017,8804.75,7353.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
23,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2018,9388.12,8039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
24,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2019,8452.1,7175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
25,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2020,8393.47,8743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
26,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2021,6709.39,5689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
27,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2022,10357.17,8676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
28,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2023,7676.68,6566.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
29,UNITED KINGDOM,SIZEWELL B,PWR,Operational,2024,8887.22,7562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=263
