,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,SMOLENSK-3,LWGR,Operational,1990,4570.76,6767.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
1,RUSSIA,SMOLENSK-3,LWGR,Operational,1991,6561.74,7338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
2,RUSSIA,SMOLENSK-3,LWGR,Operational,1992,6866.56,7515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
3,RUSSIA,SMOLENSK-3,LWGR,Operational,1993,6595.99,7419.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
4,RUSSIA,SMOLENSK-3,LWGR,Operational,1994,5513.66,6701.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
5,RUSSIA,SMOLENSK-3,LWGR,Operational,1995,5090.97,5844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
6,RUSSIA,SMOLENSK-3,LWGR,Operational,1996,6496.64,7268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
7,RUSSIA,SMOLENSK-3,LWGR,Operational,1997,5559.27,6469.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
8,RUSSIA,SMOLENSK-3,LWGR,Operational,1998,4575.89,6162.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
9,RUSSIA,SMOLENSK-3,LWGR,Operational,1999,6410.98,7063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
10,RUSSIA,SMOLENSK-3,LWGR,Operational,2000,6970.48,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
11,RUSSIA,SMOLENSK-3,LWGR,Operational,2001,6951.72,7823.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
12,RUSSIA,SMOLENSK-3,LWGR,Operational,2002,7204.9,7831.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
13,RUSSIA,SMOLENSK-3,LWGR,Operational,2003,7038.23,7697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
14,RUSSIA,SMOLENSK-3,LWGR,Operational,2004,7085.74,7765.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
15,RUSSIA,SMOLENSK-3,LWGR,Operational,2005,7303.68,8192.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
16,RUSSIA,SMOLENSK-3,LWGR,Operational,2006,4942.96,5631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
17,RUSSIA,SMOLENSK-3,LWGR,Operational,2007,7566.25,8247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
18,RUSSIA,SMOLENSK-3,LWGR,Operational,2008,5093.44,5396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
19,RUSSIA,SMOLENSK-3,LWGR,Operational,2009,6082.98,6706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
20,RUSSIA,SMOLENSK-3,LWGR,Operational,2010,7738.82,8233.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
21,RUSSIA,SMOLENSK-3,LWGR,Operational,2011,6241.79,6579.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
22,RUSSIA,SMOLENSK-3,LWGR,Operational,2012,5845.23,6279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
23,RUSSIA,SMOLENSK-3,LWGR,Operational,2013,7942.17,8471.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
24,RUSSIA,SMOLENSK-3,LWGR,Operational,2014,6894.49,7219.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
25,RUSSIA,SMOLENSK-3,LWGR,Operational,2015,8079.91,8364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
26,RUSSIA,SMOLENSK-3,LWGR,Operational,2016,7116.59,7352.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
27,RUSSIA,SMOLENSK-3,LWGR,Operational,2017,7946.26,8266.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
28,RUSSIA,SMOLENSK-3,LWGR,Operational,2018,3494.62,3601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
29,RUSSIA,SMOLENSK-3,LWGR,Operational,2019,6207.98,6723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
30,RUSSIA,SMOLENSK-3,LWGR,Operational,2020,6927.47,7624.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
31,RUSSIA,SMOLENSK-3,LWGR,Operational,2021,7044.34,7418.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
32,RUSSIA,SMOLENSK-3,LWGR,Operational,2022,6464.67,6991.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
33,RUSSIA,SMOLENSK-3,LWGR,Operational,2023,7227.81,7776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
34,RUSSIA,SMOLENSK-3,LWGR,Operational,2024,7332.45,7778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=508
