,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1988,2791.49,2404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
1,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1989,6307.67,5524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
2,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1990,6072.87,5198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
3,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1991,7239.78,6069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
4,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1992,7265.14,6033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
5,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1993,666.03,676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
6,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1994,8251.41,6842.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
7,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1995,9301.77,7570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
8,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1996,10226.8,8213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
9,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1997,9873.23,8019.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
10,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1998,10859.94,8739.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
11,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,1999,9645.37,7857.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
12,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2000,8591.9,6905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
13,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2001,10338.16,8240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
14,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2002,10867.94,8573.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
15,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2003,6858.78,5433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
16,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2004,11103.58,8712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
17,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2005,9901.85,7845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
18,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2006,10144.55,7942.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
19,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2007,11804.8,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
20,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2008,10800.56,8108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
21,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2009,10052.23,7582.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
22,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2010,11304.11,8588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
23,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2011,10616.2,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
24,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2012,10520.66,7891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
25,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2013,11019.47,8247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
26,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2014,9075.07,6894.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
27,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2015,9331.9,7140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
28,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2016,11288.14,8599.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
29,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2017,10109.92,7715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
30,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2018,10306.36,7881.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
31,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2019,11515.33,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
32,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2020,10409.82,7965.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
33,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2021,10097.71,7915.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
34,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2022,11593.44,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
35,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2023,10372.14,7932.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
36,UNITED STATES OF AMERICA,SOUTH TEXAS-1,PWR,Operational,2024,9469.55,7374.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=764
