,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1982,21.85,216.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
1,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1983,2558.83,3708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
2,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1984,6075.07,6364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
3,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1985,6939.15,7148.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
4,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1986,6176.11,6735.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
5,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1987,6385.87,6642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
6,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1988,5467.47,6177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
7,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1989,2501.58,3321.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
8,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1990,6174.36,7063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
9,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1991,3865.86,5532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
10,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1992,4946.83,6142.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
11,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1993,5277.81,5650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
12,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1994,5117.43,5667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
13,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1995,5438.63,6212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
14,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1996,5138.24,5549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
15,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1997,6196.06,6416.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
16,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1998,6164.95,6477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
17,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,1999,5558.92,5920.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
18,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2000,5203.05,5677.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
19,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2001,5563.71,6015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
20,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2002,4254.82,4625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
21,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2003,6008.24,6612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
22,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2004,6988.95,7592.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
23,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2005,6068.49,6926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
24,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2006,6345.12,6988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
25,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2007,5159.76,5562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
26,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2008,6895.39,7484.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
27,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2009,3790.57,5368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
28,UKRAINE,SOUTH UKRAINE-1,PWR,Operational,2010,5151.44,6335.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=577
