,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,ST. ALBAN-2,PWR,Operational,1986,1084.6,1485.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
1,FRANCE,ST. ALBAN-2,PWR,Operational,1987,6952.2,6094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
2,FRANCE,ST. ALBAN-2,PWR,Operational,1988,5185.0,4308.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
3,FRANCE,ST. ALBAN-2,PWR,Operational,1989,6126.5,4806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
4,FRANCE,ST. ALBAN-2,PWR,Operational,1990,6070.64,5146.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
5,FRANCE,ST. ALBAN-2,PWR,Operational,1991,7962.55,6484.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
6,FRANCE,ST. ALBAN-2,PWR,Operational,1992,6375.15,5405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
7,FRANCE,ST. ALBAN-2,PWR,Operational,1993,6433.1,6121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
8,FRANCE,ST. ALBAN-2,PWR,Operational,1994,7125.76,6074.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
9,FRANCE,ST. ALBAN-2,PWR,Operational,1995,7751.41,6763.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
10,FRANCE,ST. ALBAN-2,PWR,Operational,1996,8344.63,7247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
11,FRANCE,ST. ALBAN-2,PWR,Operational,1997,8049.72,7072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
12,FRANCE,ST. ALBAN-2,PWR,Operational,1998,6555.74,5654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
13,FRANCE,ST. ALBAN-2,PWR,Operational,1999,8606.97,7188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
14,FRANCE,ST. ALBAN-2,PWR,Operational,2000,8729.6,7202.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
15,FRANCE,ST. ALBAN-2,PWR,Operational,2001,8654.77,7657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
16,FRANCE,ST. ALBAN-2,PWR,Operational,2002,8290.64,6950.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
17,FRANCE,ST. ALBAN-2,PWR,Operational,2003,9254.77,7558.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
18,FRANCE,ST. ALBAN-2,PWR,Operational,2004,10476.49,8709.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
19,FRANCE,ST. ALBAN-2,PWR,Operational,2005,7237.98,6361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
20,FRANCE,ST. ALBAN-2,PWR,Operational,2006,7584.24,6292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
21,FRANCE,ST. ALBAN-2,PWR,Operational,2007,10476.05,8660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
22,FRANCE,ST. ALBAN-2,PWR,Operational,2008,6270.91,5320.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
23,FRANCE,ST. ALBAN-2,PWR,Operational,2009,8753.18,7052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
24,FRANCE,ST. ALBAN-2,PWR,Operational,2010,8297.53,6659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
25,FRANCE,ST. ALBAN-2,PWR,Operational,2011,10599.69,8474.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
26,FRANCE,ST. ALBAN-2,PWR,Operational,2012,8662.28,7044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
27,FRANCE,ST. ALBAN-2,PWR,Operational,2013,7287.87,6032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
28,FRANCE,ST. ALBAN-2,PWR,Operational,2014,10438.17,8684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
29,FRANCE,ST. ALBAN-2,PWR,Operational,2015,9426.74,7930.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
30,FRANCE,ST. ALBAN-2,PWR,Operational,2016,8339.93,7056.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
31,FRANCE,ST. ALBAN-2,PWR,Operational,2017,8493.06,7023.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
32,FRANCE,ST. ALBAN-2,PWR,Operational,2018,5530.66,4805.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
33,FRANCE,ST. ALBAN-2,PWR,Operational,2019,8171.02,6622.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
34,FRANCE,ST. ALBAN-2,PWR,Operational,2020,9928.37,8649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
35,FRANCE,ST. ALBAN-2,PWR,Operational,2021,9517.07,7697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
36,FRANCE,ST. ALBAN-2,PWR,Operational,2022,5931.74,4727.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
37,FRANCE,ST. ALBAN-2,PWR,Operational,2023,11131.59,8759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
38,FRANCE,ST. ALBAN-2,PWR,Operational,2024,8938.09,7493.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=205
