,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1971,938.8,2826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
1,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1972,2880.8,6722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
2,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1973,3696.5,7872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
3,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1974,2901.3,6276.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
4,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1975,3765.4,7866.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
5,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1976,3168.7,7325.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
6,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1977,3222.0,7585.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
7,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1978,3421.4,7944.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
8,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1979,2770.0,6691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
9,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1980,763.0,1705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
10,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1981,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
11,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1982,330.0,1961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
12,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1983,1156.0,4611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
13,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1984,2207.0,6233.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
14,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1985,2191.4,5656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
15,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1986,2437.0,6453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
16,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1987,2419.4,6145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
17,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1988,2640.2,6859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
18,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1989,1326.54,3826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
19,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1990,877.94,2634.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
20,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1991,2471.31,7257.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
21,FRANCE,ST. LAURENT A-2,GCR,Permanent Shutdown,1992,1332.65,3375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=229
