,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,ST. LAURENT B-2,PWR,Operational,1981,597.1,1301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
1,FRANCE,ST. LAURENT B-2,PWR,Operational,1982,1356.0,2493.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
2,FRANCE,ST. LAURENT B-2,PWR,Operational,1983,4123.0,4839.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
3,FRANCE,ST. LAURENT B-2,PWR,Operational,1984,5724.0,7237.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
4,FRANCE,ST. LAURENT B-2,PWR,Operational,1985,5295.6,6806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
5,FRANCE,ST. LAURENT B-2,PWR,Operational,1986,5662.8,7337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
6,FRANCE,ST. LAURENT B-2,PWR,Operational,1987,5060.2,6798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
7,FRANCE,ST. LAURENT B-2,PWR,Operational,1988,5108.0,6262.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
8,FRANCE,ST. LAURENT B-2,PWR,Operational,1989,5034.03,6490.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
9,FRANCE,ST. LAURENT B-2,PWR,Operational,1990,5165.86,6212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
10,FRANCE,ST. LAURENT B-2,PWR,Operational,1991,6043.04,7374.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
11,FRANCE,ST. LAURENT B-2,PWR,Operational,1992,5490.13,6982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
12,FRANCE,ST. LAURENT B-2,PWR,Operational,1993,5042.24,6149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
13,FRANCE,ST. LAURENT B-2,PWR,Operational,1994,6322.7,7406.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
14,FRANCE,ST. LAURENT B-2,PWR,Operational,1995,5311.31,6720.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
15,FRANCE,ST. LAURENT B-2,PWR,Operational,1996,6057.67,7303.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
16,FRANCE,ST. LAURENT B-2,PWR,Operational,1997,5960.69,7147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
17,FRANCE,ST. LAURENT B-2,PWR,Operational,1998,6415.27,7585.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
18,FRANCE,ST. LAURENT B-2,PWR,Operational,1999,5845.85,7013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
19,FRANCE,ST. LAURENT B-2,PWR,Operational,2000,5134.0,6069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
20,FRANCE,ST. LAURENT B-2,PWR,Operational,2001,6046.65,7226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
21,FRANCE,ST. LAURENT B-2,PWR,Operational,2002,6215.02,7434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
22,FRANCE,ST. LAURENT B-2,PWR,Operational,2003,4702.44,5580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
23,FRANCE,ST. LAURENT B-2,PWR,Operational,2004,6468.6,7838.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
24,FRANCE,ST. LAURENT B-2,PWR,Operational,2005,5728.05,7038.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
25,FRANCE,ST. LAURENT B-2,PWR,Operational,2006,6004.32,7580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
26,FRANCE,ST. LAURENT B-2,PWR,Operational,2007,5906.81,6949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
27,FRANCE,ST. LAURENT B-2,PWR,Operational,2008,6581.43,7784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
28,FRANCE,ST. LAURENT B-2,PWR,Operational,2009,6175.76,7086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
29,FRANCE,ST. LAURENT B-2,PWR,Operational,2010,6694.83,7737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
30,FRANCE,ST. LAURENT B-2,PWR,Operational,2011,5285.01,6171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
31,FRANCE,ST. LAURENT B-2,PWR,Operational,2012,6501.97,7591.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
32,FRANCE,ST. LAURENT B-2,PWR,Operational,2013,3380.08,3990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
33,FRANCE,ST. LAURENT B-2,PWR,Operational,2014,5991.68,7035.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=177
