,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1983,2575.8,3598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
1,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1984,5564.83,7067.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
2,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1985,6108.63,7368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
3,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1986,6151.23,7253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
4,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1987,5950.18,7206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
5,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1988,7407.1,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
6,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1989,5443.45,6531.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
7,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1990,5341.48,6487.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
8,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1991,7428.74,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
9,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1992,5431.15,6598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
10,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1993,4719.91,6687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
11,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1994,5607.44,6971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
12,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1995,5295.95,6570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
13,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1996,6984.8,8444.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
14,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1997,6498.92,7756.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
15,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1998,6739.45,8009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
16,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,1999,7212.98,8583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
17,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2000,6804.33,8041.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
18,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2001,6707.49,7979.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
19,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2002,7424.99,8742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
20,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2003,5891.34,7120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
21,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2004,6781.43,8059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
22,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2005,6283.15,7602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
23,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2006,6048.25,7434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
24,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2007,5170.45,6232.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
25,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2008,7087.29,8361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
26,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2009,5906.55,6721.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
27,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2010,7331.25,8589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
28,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2011,4279.08,5674.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
29,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2012,5096.77,6101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
30,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2013,8641.77,8583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
31,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2014,7096.4,7121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
32,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2015,7242.01,7272.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
33,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2016,8669.53,8604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
34,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2017,7915.78,7904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
35,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2018,7652.59,7723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
36,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2019,8876.97,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
37,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2020,8073.53,8035.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
38,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2021,7878.34,7890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
39,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2022,8458.5,8425.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
40,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2023,7816.91,7827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
41,UNITED STATES OF AMERICA,ST. LUCIE-2,PWR,Operational,2024,7001.26,7304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=698
