,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,STADE,PWR,Permanent Shutdown,1972,3279.7,5542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
1,GERMANY,STADE,PWR,Permanent Shutdown,1973,3917.5,6407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
2,GERMANY,STADE,PWR,Permanent Shutdown,1974,5065.0,8061.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
3,GERMANY,STADE,PWR,Permanent Shutdown,1975,4533.5,7428.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
4,GERMANY,STADE,PWR,Permanent Shutdown,1976,5187.4,8297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
5,GERMANY,STADE,PWR,Permanent Shutdown,1977,5156.0,8245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
6,GERMANY,STADE,PWR,Permanent Shutdown,1978,5238.8,8332.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
7,GERMANY,STADE,PWR,Permanent Shutdown,1979,4217.0,6777.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
8,GERMANY,STADE,PWR,Permanent Shutdown,1980,4166.0,6737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
9,GERMANY,STADE,PWR,Permanent Shutdown,1981,4617.0,7425.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
10,GERMANY,STADE,PWR,Permanent Shutdown,1982,4805.2,7753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
11,GERMANY,STADE,PWR,Permanent Shutdown,1983,4771.0,7661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
12,GERMANY,STADE,PWR,Permanent Shutdown,1984,4890.0,7841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
13,GERMANY,STADE,PWR,Permanent Shutdown,1985,4861.21,7760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
14,GERMANY,STADE,PWR,Permanent Shutdown,1986,5019.0,8060.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
15,GERMANY,STADE,PWR,Permanent Shutdown,1987,4429.05,7541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
16,GERMANY,STADE,PWR,Permanent Shutdown,1988,4445.41,7423.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
17,GERMANY,STADE,PWR,Permanent Shutdown,1989,4187.47,6728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
18,GERMANY,STADE,PWR,Permanent Shutdown,1990,4208.93,6902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
19,GERMANY,STADE,PWR,Permanent Shutdown,1991,2296.6,3814.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
20,GERMANY,STADE,PWR,Permanent Shutdown,1992,4247.06,6911.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
21,GERMANY,STADE,PWR,Permanent Shutdown,1993,4499.75,7317.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
22,GERMANY,STADE,PWR,Permanent Shutdown,1994,5353.1,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
23,GERMANY,STADE,PWR,Permanent Shutdown,1995,4363.2,7310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
24,GERMANY,STADE,PWR,Permanent Shutdown,1996,5039.05,8042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
25,GERMANY,STADE,PWR,Permanent Shutdown,1997,4948.01,8054.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
26,GERMANY,STADE,PWR,Permanent Shutdown,1998,5098.25,8201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
27,GERMANY,STADE,PWR,Permanent Shutdown,1999,4625.27,7718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
28,GERMANY,STADE,PWR,Permanent Shutdown,2000,4917.71,7915.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
29,GERMANY,STADE,PWR,Permanent Shutdown,2001,4320.46,6979.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
30,GERMANY,STADE,PWR,Permanent Shutdown,2002,4711.76,7539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
31,GERMANY,STADE,PWR,Permanent Shutdown,2003,4480.97,7295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=83
