,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1982,191.2,761.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
1,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1983,4327.5,6238.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
2,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1984,4208.59,5362.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
3,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1985,5235.09,6272.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
4,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1986,7160.64,8346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
5,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1987,5168.12,6135.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
6,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1988,5068.16,5952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
7,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1989,5412.76,7073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
8,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1990,6117.27,7261.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
9,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1991,5346.13,7065.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
10,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1992,7515.2,8532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
11,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1993,6109.46,7258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
12,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1994,4456.04,6022.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
13,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1995,7561.35,8478.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
14,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1996,7155.13,7829.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
15,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1997,7267.91,7805.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
16,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1998,8188.92,8638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
17,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,1999,7376.3,7779.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
18,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,2000,6358.81,6688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
19,UNITED STATES OF AMERICA,SUMMER-1,PWR,Operational,2001,6757.53,7095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=701
