,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1972,407.6,1048.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
1,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1973,3479.7,5377.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
2,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1974,3318.1,4800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
3,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1975,3858.4,5343.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
4,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1976,4396.8,6010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
5,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1977,5023.9,6661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
6,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1978,4704.2,6291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
7,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1979,2255.1,3045.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
8,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1980,2472.6,3762.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
9,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1981,2377.4,3403.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
10,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1982,5483.1,7776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
11,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1983,3517.1,5010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
12,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1984,3334.11,5138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
13,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1985,5618.28,7827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
14,UNITED STATES OF AMERICA,SURRY-1,PWR,Operational,1986,4488.63,6013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=631
