,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1982,321.3,852.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
1,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1983,4472.8,4891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
2,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1984,6088.14,6377.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
3,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1985,5286.43,5469.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
4,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1986,5839.25,5992.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
5,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1987,6132.87,6331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
6,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1988,8410.06,8206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
7,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1989,6483.95,6447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
8,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1990,6446.7,6528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
9,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1991,8821.6,8596.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
10,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1992,6400.29,6568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
11,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1993,5232.4,5205.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
12,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1994,8414.45,8249.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
13,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1995,7432.27,7126.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
14,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1996,7752.89,7434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
15,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1997,9085.32,8274.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
16,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1998,7652.8,7015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
17,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,1999,8814.47,8234.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
18,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,2000,8180.56,7598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
19,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,2001,9412.96,8718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
20,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,2002,8026.62,7493.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
21,UNITED STATES OF AMERICA,SUSQUEHANNA-1,BWR,Operational,2003,9359.91,8585.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=696
