,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,TAKAHAMA-3,PWR,Operational,1984,1456.75,2959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
1,JAPAN,TAKAHAMA-3,PWR,Operational,1985,6199.46,7426.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
2,JAPAN,TAKAHAMA-3,PWR,Operational,1986,6833.58,8215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
3,JAPAN,TAKAHAMA-3,PWR,Operational,1987,6030.38,7265.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
4,JAPAN,TAKAHAMA-3,PWR,Operational,1988,5743.18,6948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
5,JAPAN,TAKAHAMA-3,PWR,Operational,1989,5987.22,7138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
6,JAPAN,TAKAHAMA-3,PWR,Operational,1990,6775.04,8143.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
7,JAPAN,TAKAHAMA-3,PWR,Operational,1991,5513.55,6641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
8,JAPAN,TAKAHAMA-3,PWR,Operational,1992,6059.91,7292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
9,JAPAN,TAKAHAMA-3,PWR,Operational,1993,5804.78,6983.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
10,JAPAN,TAKAHAMA-3,PWR,Operational,1994,7361.14,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
11,JAPAN,TAKAHAMA-3,PWR,Operational,1995,5662.92,6809.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
12,JAPAN,TAKAHAMA-3,PWR,Operational,1996,5479.31,6576.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
13,JAPAN,TAKAHAMA-3,PWR,Operational,1997,6028.89,7206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
14,JAPAN,TAKAHAMA-3,PWR,Operational,1998,6853.72,8161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
15,JAPAN,TAKAHAMA-3,PWR,Operational,1999,6833.42,8131.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=354
