,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,INDIA,TARAPUR-2,BWR,Suspended Operation,1972,218.0,1987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
4,INDIA,TARAPUR-2,BWR,Suspended Operation,1973,1249.6,7402.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
5,INDIA,TARAPUR-2,BWR,Suspended Operation,1974,597.0,4016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
6,INDIA,TARAPUR-2,BWR,Suspended Operation,1975,925.8,5654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
7,INDIA,TARAPUR-2,BWR,Suspended Operation,1976,1137.9,6534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
8,INDIA,TARAPUR-2,BWR,Suspended Operation,1977,1161.5,7650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
9,INDIA,TARAPUR-2,BWR,Suspended Operation,1978,1146.1,6678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
10,INDIA,TARAPUR-2,BWR,Suspended Operation,1979,993.0,6216.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
11,INDIA,TARAPUR-2,BWR,Suspended Operation,1980,899.9,6883.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
12,INDIA,TARAPUR-2,BWR,Suspended Operation,1981,964.0,6748.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
13,INDIA,TARAPUR-2,BWR,Suspended Operation,1982,556.7,4844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
14,INDIA,TARAPUR-2,BWR,Suspended Operation,1983,867.7,7519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
15,INDIA,TARAPUR-2,BWR,Suspended Operation,1984,803.11,5615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
16,INDIA,TARAPUR-2,BWR,Suspended Operation,1985,1070.89,8059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
17,INDIA,TARAPUR-2,BWR,Suspended Operation,1986,769.51,5615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
18,INDIA,TARAPUR-2,BWR,Suspended Operation,1987,1167.19,8221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
19,INDIA,TARAPUR-2,BWR,Suspended Operation,1988,813.5,6077.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
20,INDIA,TARAPUR-2,BWR,Suspended Operation,1989,427.06,3052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
21,INDIA,TARAPUR-2,BWR,Suspended Operation,1990,762.38,7827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
22,INDIA,TARAPUR-2,BWR,Suspended Operation,1991,848.46,6265.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
23,INDIA,TARAPUR-2,BWR,Suspended Operation,1992,819.84,6076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
24,INDIA,TARAPUR-2,BWR,Suspended Operation,1993,779.72,5750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
25,INDIA,TARAPUR-2,BWR,Suspended Operation,1994,843.61,6722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
26,INDIA,TARAPUR-2,BWR,Suspended Operation,1995,640.0,4911.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
27,INDIA,TARAPUR-2,BWR,Suspended Operation,1996,361.17,3203.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
28,INDIA,TARAPUR-2,BWR,Suspended Operation,1997,775.71,6978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
29,INDIA,TARAPUR-2,BWR,Suspended Operation,1998,881.06,6522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
30,INDIA,TARAPUR-2,BWR,Suspended Operation,1999,1103.52,7711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
31,INDIA,TARAPUR-2,BWR,Suspended Operation,2000,1023.11,7162.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
32,INDIA,TARAPUR-2,BWR,Suspended Operation,2001,1197.42,8364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
33,INDIA,TARAPUR-2,BWR,Suspended Operation,2002,1163.29,7978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
34,INDIA,TARAPUR-2,BWR,Suspended Operation,2003,1117.12,7890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
35,INDIA,TARAPUR-2,BWR,Suspended Operation,2004,1238.26,8455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
36,INDIA,TARAPUR-2,BWR,Suspended Operation,2005,893.32,6359.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
37,INDIA,TARAPUR-2,BWR,Suspended Operation,2006,1090.87,7439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
38,INDIA,TARAPUR-2,BWR,Suspended Operation,2007,1142.36,7812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=296
