,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2000,2.31,29.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
1,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2001,1064.34,2205.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
2,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2002,5147.87,5961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
3,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2003,5455.32,5861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
4,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2004,5715.82,6029.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
5,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2005,5443.97,5846.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
6,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2006,6124.86,6731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
7,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2007,4901.35,5282.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
8,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2008,4526.45,4745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
9,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2009,6229.78,6527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
10,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2010,6305.63,6594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
11,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2011,6915.59,7205.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
12,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2012,7159.77,7515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
13,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2013,7018.65,7252.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
14,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2014,7194.59,7092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
15,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2015,7581.24,7400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
16,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2016,5786.94,5868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
17,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2017,8410.14,8205.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
18,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2018,7487.6,7321.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
19,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2019,7169.4,7088.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
20,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2020,7294.1,7178.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
21,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2021,7605.99,7403.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
22,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2022,7733.58,7459.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
23,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2023,7542.49,7283.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
24,CZECH REPUBLIC,TEMELIN-1,PWR,Operational,2024,7094.55,6929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=74
