,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1974,2450.2,3651.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
1,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1975,5541.6,7198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
2,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1976,4344.4,5745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
3,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1977,5466.6,7087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
4,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1978,5681.9,7454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
5,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1979,888.7,1128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
6,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1980,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
7,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1981,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
8,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1982,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
9,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1983,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
10,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1984,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
11,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1985,811.66,1853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
12,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1986,4818.26,6209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
13,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1987,5034.31,6351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
14,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1988,5465.43,6679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
15,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1989,7216.78,8714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
16,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1990,5316.18,7123.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
17,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1991,5671.23,7536.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
18,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1992,6936.51,8743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
19,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1993,5962.21,7702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
20,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1994,6590.9,8349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
21,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1995,6387.99,7926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
22,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1996,7100.26,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
23,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1997,5918.77,7633.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
24,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1998,7059.2,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
25,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,1999,6328.41,7827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
26,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2000,7144.93,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
27,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2001,5416.66,7034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
28,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2002,7313.52,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
29,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2003,6205.07,7602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
30,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2004,7273.32,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
31,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2005,6755.4,8145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
32,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2006,7227.03,8647.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
33,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2007,6645.29,8034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
34,UNITED STATES OF AMERICA,THREE MILE ISLAND-1,PWR,Permanent Shutdown,2008,7365.1,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=637
