,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,TIANWAN-1,PWR,Operational,2006,1235.0,2790.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
1,CHINA,TIANWAN-1,PWR,Operational,2007,5311.0,5688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
2,CHINA,TIANWAN-1,PWR,Operational,2008,6116.16,6270.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
3,CHINA,TIANWAN-1,PWR,Operational,2009,6337.71,6553.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
4,CHINA,TIANWAN-1,PWR,Operational,2010,7539.59,7643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
5,CHINA,TIANWAN-1,PWR,Operational,2011,7470.08,7606.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
6,CHINA,TIANWAN-1,PWR,Operational,2012,7550.16,7635.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
7,CHINA,TIANWAN-1,PWR,Operational,2013,7869.05,7959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
8,CHINA,TIANWAN-1,PWR,Operational,2014,7766.8,7888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
9,CHINA,TIANWAN-1,PWR,Operational,2015,7894.21,7996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
10,CHINA,TIANWAN-1,PWR,Operational,2016,7027.54,7295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
11,CHINA,TIANWAN-1,PWR,Operational,2017,7869.01,8081.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
12,CHINA,TIANWAN-1,PWR,Operational,2018,7074.55,7450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
13,CHINA,TIANWAN-1,PWR,Operational,2019,8254.54,8501.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
14,CHINA,TIANWAN-1,PWR,Operational,2020,7424.97,7854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
15,CHINA,TIANWAN-1,PWR,Operational,2021,7528.83,7686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
16,CHINA,TIANWAN-1,PWR,Operational,2022,8167.0,8630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
17,CHINA,TIANWAN-1,PWR,Operational,2023,7875.04,8185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
18,CHINA,TIANWAN-1,PWR,Operational,2024,7346.29,7797.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=838
