,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,BELGIUM,TIHANGE-3,PWR,Operational,1986,7558.0,7733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
2,BELGIUM,TIHANGE-3,PWR,Operational,1987,7829.0,7872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
3,BELGIUM,TIHANGE-3,PWR,Operational,1988,7623.0,7773.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
4,BELGIUM,TIHANGE-3,PWR,Operational,1989,7749.0,7790.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
5,BELGIUM,TIHANGE-3,PWR,Operational,1990,7794.0,7924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
6,BELGIUM,TIHANGE-3,PWR,Operational,1991,7649.0,7903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
7,BELGIUM,TIHANGE-3,PWR,Operational,1992,8335.0,8246.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
8,BELGIUM,TIHANGE-3,PWR,Operational,1993,7748.0,7874.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
9,BELGIUM,TIHANGE-3,PWR,Operational,1994,7480.0,7666.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
10,BELGIUM,TIHANGE-3,PWR,Operational,1995,7559.0,7632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
11,BELGIUM,TIHANGE-3,PWR,Operational,1996,7189.0,7142.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
12,BELGIUM,TIHANGE-3,PWR,Operational,1997,8357.0,8342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
13,BELGIUM,TIHANGE-3,PWR,Operational,1998,6738.0,6903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
14,BELGIUM,TIHANGE-3,PWR,Operational,1999,8799.0,8686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
15,BELGIUM,TIHANGE-3,PWR,Operational,2000,7597.0,7656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
16,BELGIUM,TIHANGE-3,PWR,Operational,2001,7729.0,7929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
17,BELGIUM,TIHANGE-3,PWR,Operational,2002,8340.47,8368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
18,BELGIUM,TIHANGE-3,PWR,Operational,2003,7661.54,7846.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
19,BELGIUM,TIHANGE-3,PWR,Operational,2004,7936.43,7969.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
20,BELGIUM,TIHANGE-3,PWR,Operational,2005,8707.53,8753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
21,BELGIUM,TIHANGE-3,PWR,Operational,2006,7237.59,7592.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
22,BELGIUM,TIHANGE-3,PWR,Operational,2007,7339.4,7406.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
23,BELGIUM,TIHANGE-3,PWR,Operational,2008,8385.26,8365.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
24,BELGIUM,TIHANGE-3,PWR,Operational,2009,7717.15,7480.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
25,BELGIUM,TIHANGE-3,PWR,Operational,2010,7563.23,7489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
26,BELGIUM,TIHANGE-3,PWR,Operational,2011,8981.89,8701.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
27,BELGIUM,TIHANGE-3,PWR,Operational,2012,7974.73,7800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
28,BELGIUM,TIHANGE-3,PWR,Operational,2013,8094.07,7839.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
29,BELGIUM,TIHANGE-3,PWR,Operational,2014,8800.74,8550.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
30,BELGIUM,TIHANGE-3,PWR,Operational,2015,7336.42,7264.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
31,BELGIUM,TIHANGE-3,PWR,Operational,2016,7835.57,7623.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
32,BELGIUM,TIHANGE-3,PWR,Operational,2017,8963.79,8737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
33,BELGIUM,TIHANGE-3,PWR,Operational,2018,2221.56,2138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
34,BELGIUM,TIHANGE-3,PWR,Operational,2019,8945.12,8758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
35,BELGIUM,TIHANGE-3,PWR,Operational,2020,5838.22,5686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
36,BELGIUM,TIHANGE-3,PWR,Operational,2021,9001.86,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
37,BELGIUM,TIHANGE-3,PWR,Operational,2022,7366.37,7297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
38,BELGIUM,TIHANGE-3,PWR,Operational,2023,7544.13,7389.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
39,BELGIUM,TIHANGE-3,PWR,Operational,2024,8874.52,8687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15
