,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,JAPAN,TOKAI-2,BWR,Suspended Operation,1979,5209.5,5481.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
2,JAPAN,TOKAI-2,BWR,Suspended Operation,1980,6743.2,6597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
3,JAPAN,TOKAI-2,BWR,Suspended Operation,1981,6059.1,6037.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
4,JAPAN,TOKAI-2,BWR,Suspended Operation,1982,5571.6,5338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
5,JAPAN,TOKAI-2,BWR,Suspended Operation,1983,6556.64,6327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
6,JAPAN,TOKAI-2,BWR,Suspended Operation,1984,8695.17,8240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
7,JAPAN,TOKAI-2,BWR,Suspended Operation,1985,6957.48,6625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
8,JAPAN,TOKAI-2,BWR,Suspended Operation,1986,5797.62,5508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
9,JAPAN,TOKAI-2,BWR,Suspended Operation,1987,7040.45,6776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
10,JAPAN,TOKAI-2,BWR,Suspended Operation,1988,6088.38,5872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
11,JAPAN,TOKAI-2,BWR,Suspended Operation,1989,8434.97,8006.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
12,JAPAN,TOKAI-2,BWR,Suspended Operation,1990,7291.6,6948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
13,JAPAN,TOKAI-2,BWR,Suspended Operation,1991,7025.25,6716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
14,JAPAN,TOKAI-2,BWR,Suspended Operation,1992,6307.75,5990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
15,JAPAN,TOKAI-2,BWR,Suspended Operation,1993,8707.18,8252.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
16,JAPAN,TOKAI-2,BWR,Suspended Operation,1994,7325.77,6938.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
17,JAPAN,TOKAI-2,BWR,Suspended Operation,1995,6845.05,6488.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
18,JAPAN,TOKAI-2,BWR,Suspended Operation,1996,7562.05,7169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
19,JAPAN,TOKAI-2,BWR,Suspended Operation,1997,8884.54,8404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
20,JAPAN,TOKAI-2,BWR,Suspended Operation,1998,6999.42,6642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
21,JAPAN,TOKAI-2,BWR,Suspended Operation,1999,2316.08,2228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=346
