,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,TOMARI-2,PWR,Suspended Operation,1990,675.2,2001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
1,JAPAN,TOMARI-2,PWR,Suspended Operation,1991,3277.78,6061.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
2,JAPAN,TOMARI-2,PWR,Suspended Operation,1992,3639.56,6756.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
3,JAPAN,TOMARI-2,PWR,Suspended Operation,1993,3847.52,7092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
4,JAPAN,TOMARI-2,PWR,Suspended Operation,1994,4511.59,8232.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
5,JAPAN,TOMARI-2,PWR,Suspended Operation,1995,4161.85,7567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
6,JAPAN,TOMARI-2,PWR,Suspended Operation,1996,3933.63,7232.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
7,JAPAN,TOMARI-2,PWR,Suspended Operation,1997,3775.23,6943.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
8,JAPAN,TOMARI-2,PWR,Suspended Operation,1998,5071.63,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
9,JAPAN,TOMARI-2,PWR,Suspended Operation,1999,4273.16,7344.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
10,JAPAN,TOMARI-2,PWR,Suspended Operation,2000,4107.46,7477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
11,JAPAN,TOMARI-2,PWR,Suspended Operation,2001,3971.26,7235.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
12,JAPAN,TOMARI-2,PWR,Suspended Operation,2002,4516.13,8228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
13,JAPAN,TOMARI-2,PWR,Suspended Operation,2003,3542.02,6300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
14,JAPAN,TOMARI-2,PWR,Suspended Operation,2004,3864.74,6862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
15,JAPAN,TOMARI-2,PWR,Suspended Operation,2005,4252.61,7571.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
16,JAPAN,TOMARI-2,PWR,Suspended Operation,2006,4316.86,7704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
17,JAPAN,TOMARI-2,PWR,Suspended Operation,2007,4663.24,8339.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
18,JAPAN,TOMARI-2,PWR,Suspended Operation,2008,3018.25,5411.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
19,JAPAN,TOMARI-2,PWR,Suspended Operation,2009,3436.45,6131.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
20,JAPAN,TOMARI-2,PWR,Suspended Operation,2010,4043.32,7232.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
21,JAPAN,TOMARI-2,PWR,Suspended Operation,2011,3194.68,5688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
22,JAPAN,TOMARI-2,PWR,Suspended Operation,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
23,JAPAN,TOMARI-2,PWR,Suspended Operation,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
24,JAPAN,TOMARI-2,PWR,Suspended Operation,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
25,JAPAN,TOMARI-2,PWR,Suspended Operation,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
26,JAPAN,TOMARI-2,PWR,Suspended Operation,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
27,JAPAN,TOMARI-2,PWR,Suspended Operation,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
28,JAPAN,TOMARI-2,PWR,Suspended Operation,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
29,JAPAN,TOMARI-2,PWR,Suspended Operation,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
30,JAPAN,TOMARI-2,PWR,Suspended Operation,2020,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
31,JAPAN,TOMARI-2,PWR,Suspended Operation,2021,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=371
