,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED KINGDOM,TORNESS-2,GCR,Operational,1989,3633.8,7068.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
1,UNITED KINGDOM,TORNESS-2,GCR,Operational,1990,1948.3,4211.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
2,UNITED KINGDOM,TORNESS-2,GCR,Operational,1991,2651.3,5068.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
3,UNITED KINGDOM,TORNESS-2,GCR,Operational,1992,3732.7,6560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
4,UNITED KINGDOM,TORNESS-2,GCR,Operational,1993,4038.0,7168.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
5,UNITED KINGDOM,TORNESS-2,GCR,Operational,1994,3478.09,6264.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
6,UNITED KINGDOM,TORNESS-2,GCR,Operational,1995,4651.9,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
7,UNITED KINGDOM,TORNESS-2,GCR,Operational,1996,1571.3,2409.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
8,UNITED KINGDOM,TORNESS-2,GCR,Operational,1997,4217.98,7181.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
9,UNITED KINGDOM,TORNESS-2,GCR,Operational,1998,5094.36,8713.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
10,UNITED KINGDOM,TORNESS-2,GCR,Operational,1999,4983.97,8588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
11,UNITED KINGDOM,TORNESS-2,GCR,Operational,2000,3936.12,7686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
12,UNITED KINGDOM,TORNESS-2,GCR,Operational,2001,4293.57,8476.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=262
