,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
5,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1970,1700.5,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
6,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1971,1704.6,7504.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
7,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1972,1580.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
9,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1974,1584.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
10,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1975,1540.0,8713.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
11,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1976,1512.0,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
12,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1977,1493.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
13,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1978,1289.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
14,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1979,1406.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
15,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1980,742.0,5207.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
16,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1981,1380.0,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
17,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1982,1458.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
18,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1983,1343.5,8548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
19,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1984,1432.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
20,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1985,1610.12,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
21,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1986,1464.14,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
22,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1987,1548.15,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
23,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1988,1009.13,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
24,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1989,1298.82,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
25,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1990,1320.72,8684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
26,UNITED KINGDOM,TRAWSFYNYDD-2,GCR,Permanent Shutdown,1991,162.08,910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=274
