,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,TRICASTIN-3,PWR,Operational,1981,4917.6,6463.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
1,FRANCE,TRICASTIN-3,PWR,Operational,1982,5067.3,5966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
2,FRANCE,TRICASTIN-3,PWR,Operational,1983,6342.0,7544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
3,FRANCE,TRICASTIN-3,PWR,Operational,1984,6682.0,7668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
4,FRANCE,TRICASTIN-3,PWR,Operational,1985,7166.0,8518.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
5,FRANCE,TRICASTIN-3,PWR,Operational,1986,6230.4,7704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
6,FRANCE,TRICASTIN-3,PWR,Operational,1987,5654.3,6810.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
7,FRANCE,TRICASTIN-3,PWR,Operational,1988,5722.0,7106.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
8,FRANCE,TRICASTIN-3,PWR,Operational,1989,5834.63,7188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
9,FRANCE,TRICASTIN-3,PWR,Operational,1990,6457.21,7671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
10,FRANCE,TRICASTIN-3,PWR,Operational,1991,4746.8,5941.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
11,FRANCE,TRICASTIN-3,PWR,Operational,1992,5198.98,6010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
12,FRANCE,TRICASTIN-3,PWR,Operational,1993,6423.91,7373.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
13,FRANCE,TRICASTIN-3,PWR,Operational,1994,6496.49,7641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
14,FRANCE,TRICASTIN-3,PWR,Operational,1995,6494.69,7675.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
15,FRANCE,TRICASTIN-3,PWR,Operational,1996,5806.69,7172.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
16,FRANCE,TRICASTIN-3,PWR,Operational,1997,6192.76,7331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
17,FRANCE,TRICASTIN-3,PWR,Operational,1998,6359.54,7375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
18,FRANCE,TRICASTIN-3,PWR,Operational,1999,5731.67,6828.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
19,FRANCE,TRICASTIN-3,PWR,Operational,2000,5985.21,7325.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
20,FRANCE,TRICASTIN-3,PWR,Operational,2001,4929.48,5777.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=179
