,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SPAIN,TRILLO-1,PWR,Operational,1988,2896.23,3511.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
1,SPAIN,TRILLO-1,PWR,Operational,1989,7147.79,7665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
2,SPAIN,TRILLO-1,PWR,Operational,1990,6372.44,7170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
3,SPAIN,TRILLO-1,PWR,Operational,1991,6481.54,6891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
4,SPAIN,TRILLO-1,PWR,Operational,1992,7938.46,8028.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
5,SPAIN,TRILLO-1,PWR,Operational,1993,7395.86,7512.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
6,SPAIN,TRILLO-1,PWR,Operational,1994,7927.69,8009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
7,SPAIN,TRILLO-1,PWR,Operational,1995,7472.62,7597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
8,SPAIN,TRILLO-1,PWR,Operational,1996,7626.31,7713.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
9,SPAIN,TRILLO-1,PWR,Operational,1997,7765.45,8066.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
10,SPAIN,TRILLO-1,PWR,Operational,1998,6589.73,6686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
11,SPAIN,TRILLO-1,PWR,Operational,1999,6828.82,6876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
12,SPAIN,TRILLO-1,PWR,Operational,2000,8206.49,8251.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
13,SPAIN,TRILLO-1,PWR,Operational,2001,7907.41,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
14,SPAIN,TRILLO-1,PWR,Operational,2002,7827.0,7876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
15,SPAIN,TRILLO-1,PWR,Operational,2003,8114.66,8210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
16,SPAIN,TRILLO-1,PWR,Operational,2004,7980.12,8121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
17,SPAIN,TRILLO-1,PWR,Operational,2005,8080.62,8175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
18,SPAIN,TRILLO-1,PWR,Operational,2006,7687.8,7788.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
19,SPAIN,TRILLO-1,PWR,Operational,2007,7948.88,8039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
20,SPAIN,TRILLO-1,PWR,Operational,2008,7743.95,7820.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
21,SPAIN,TRILLO-1,PWR,Operational,2009,7197.1,7438.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=141
