,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1976,2186.9,3145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
2,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1977,6520.4,6646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
3,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1978,1705.7,1801.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
4,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1979,5286.7,5085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
5,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1980,6079.0,6363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
6,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1981,6428.2,6492.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
7,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1982,4815.6,4750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
8,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1983,4098.8,4309.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
9,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1984,4752.23,4780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
10,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1985,6914.63,6716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
11,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1986,7094.12,6982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
12,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1987,4363.1,4629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
13,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1988,6344.37,5859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
14,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1989,5547.74,5292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
15,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1990,6104.42,5655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
16,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1991,1496.17,1397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
17,UNITED STATES OF AMERICA,TROJAN,PWR,Permanent Shutdown,1992,4611.95,4656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=675
