,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1969,29.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
1,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1970,1840.0,5900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
2,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1971,2122.2,6312.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
3,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1972,2272.2,7031.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
4,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1973,2396.8,7485.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
5,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1974,1819.1,6009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
6,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1975,1004.4,3301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
7,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1976,2036.3,6676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
8,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1977,1084.0,3548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
9,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1978,2039.8,6565.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
10,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1979,1818.9,5873.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
11,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1980,2063.1,6669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
12,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1981,663.4,2139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
13,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1982,1614.0,5245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
14,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1983,1972.14,6464.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
15,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1984,2643.12,8129.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
16,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1985,1703.64,5088.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
17,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1986,2286.26,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
18,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1987,2349.19,7052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
19,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1988,2222.91,6611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
20,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1989,2457.65,7298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
21,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1990,1959.85,5822.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
22,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1991,2255.92,6742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
23,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1992,1994.08,5914.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
24,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1993,2623.72,7745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
25,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1994,1507.52,4477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
26,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1995,2328.68,7027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
27,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1996,2514.19,7411.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
28,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1997,1936.13,5728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
29,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1998,1870.52,5528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
30,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,1999,1845.04,5542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
31,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2000,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
32,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2001,2584.5,7594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
33,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2002,2546.63,7495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
34,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2003,2426.34,7135.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
35,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2004,2535.9,7395.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
36,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2005,2547.58,7568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
37,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2006,2845.0,8558.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
38,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2007,1267.15,3757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
39,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2008,2276.64,6696.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
40,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2009,171.42,521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
41,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2010,2565.13,7568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
42,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2011,203.55,600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
43,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
44,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
45,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
46,JAPAN,TSURUGA-1,BWR,Permanent Shutdown,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=355
