,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1972,101.1,420.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
2,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1974,3478.8,6090.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
3,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1975,4376.0,6948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
4,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1976,4322.0,6665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
5,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1977,4474.1,6994.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
6,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1978,4502.7,7087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
7,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1979,2881.6,4509.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
8,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1980,4389.0,6812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
9,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1981,933.2,1385.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
10,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1982,3771.4,5612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
11,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1983,4331.0,6415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
12,UNITED STATES OF AMERICA,TURKEY POINT-3,PWR,Operational,1984,4784.19,7253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=613
