,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1978,787.7,1268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
1,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1979,8081.0,7597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
2,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1980,9272.0,7832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
3,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1981,9023.5,7606.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
4,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1982,9114.2,8022.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
5,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1983,8215.0,7191.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
6,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1984,9483.0,7908.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
7,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1985,9931.81,8279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
8,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1986,7280.83,6254.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
9,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1987,8673.92,7277.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
10,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1988,9108.38,7627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
11,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1989,9245.56,7873.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
12,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1990,8485.0,6921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
13,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1991,6485.94,5369.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
14,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1992,8731.47,7646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
15,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1993,10824.83,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
16,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1994,7685.92,7039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
17,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1995,7980.63,6832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
18,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1996,9907.73,8055.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
19,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1997,9932.43,8291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
20,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1998,6618.0,5217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
21,GERMANY,UNTERWESER,PWR,Permanent Shutdown,1999,8096.58,6899.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=90
