,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
10,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1971,114.7,7550.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
11,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1972,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
12,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1973,46.8,3243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
13,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1974,86.5,5938.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
14,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1975,71.9,4612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
15,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1976,101.6,6557.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
16,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1977,100.9,6466.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
17,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1978,51.9,4613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
18,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1979,75.0,6890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
19,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1980,81.0,6743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
20,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1981,75.0,6569.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
21,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1982,83.0,7687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
22,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1983,73.0,6632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
23,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1984,93.0,7695.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
24,GERMANY,VAK KAHL,BWR,Decommissioning Completed,1985,83.08,7420.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=82
