,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1972,1138.0,4216.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
1,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1973,3042.1,7239.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
2,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1974,3643.2,7982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
3,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1975,3384.8,7602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
4,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1976,3203.0,7961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
5,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1977,3288.2,8313.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
6,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1978,3180.0,7989.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
7,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1979,3099.5,8092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
8,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1980,3283.3,8269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
9,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1981,2955.2,7719.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
10,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1982,3059.0,7985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
11,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1983,3029.8,7934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
12,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1984,2888.43,7890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
13,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1985,2927.58,7972.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
14,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1986,2964.6,7998.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
15,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1987,3030.0,8103.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
16,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1988,3058.1,8049.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
17,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1989,2454.3,6349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
18,SPAIN,VANDELLOS-1,GCR,Permanent Shutdown,1990,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=150
