,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1972,459.0,1842.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
1,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1973,1814.5,5354.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
2,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1974,2482.7,6495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
3,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1975,3561.3,7689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
4,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1976,3260.2,6776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
5,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1977,3537.9,7456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
6,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1978,3240.7,6649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
7,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1979,3449.0,7194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
8,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1980,2978.8,6271.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
9,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1981,3568.5,7407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
10,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1982,4174.3,8406.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
11,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1983,2874.5,6072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
12,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1984,3335.83,6933.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
13,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1985,2999.4,6287.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
14,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1986,2058.43,4280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
15,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1987,3536.41,7288.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
16,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1988,4113.84,8333.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
17,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1989,3606.78,7372.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
18,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1990,3616.27,7392.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
19,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1991,4108.31,8200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
20,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1992,3734.59,7680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
21,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1993,3372.15,6860.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
22,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1994,4315.55,8600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
23,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1995,3858.5,7554.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
24,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1996,3798.79,7422.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
25,UNITED STATES OF AMERICA,VERMONT YANKEE,BWR,Permanent Shutdown,1997,4266.87,8358.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=626
