,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1989,5547.17,5104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
1,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1990,6868.02,7125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
2,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1991,8897.44,8375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
3,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1992,7779.64,7175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
4,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1993,8680.9,7737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
5,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1994,9331.6,8062.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
6,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1995,9165.65,7908.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
7,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1996,9037.64,7899.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
8,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1997,10310.83,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
9,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1998,8388.61,7347.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
10,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,1999,9022.63,7833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
11,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2000,10337.82,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
12,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2001,9456.68,8112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
13,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2002,8418.9,7328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
14,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2003,9736.64,8401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
15,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2004,9168.69,7970.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
16,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2005,8592.88,7464.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
17,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2006,9276.1,8024.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
18,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2007,8347.29,7323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
19,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2008,8727.13,7767.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
20,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2009,10150.93,8710.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
21,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2010,9363.05,8011.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
22,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2011,9512.37,8163.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
23,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2012,10341.23,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
24,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2013,8860.32,7748.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
25,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2014,9276.53,7984.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
26,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2015,10144.14,8692.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
27,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2016,9586.97,8220.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
28,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2017,9767.38,8347.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
29,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2018,10331.91,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
30,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2019,9457.1,8076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
31,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2020,9295.37,7913.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
32,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2021,10320.36,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
33,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2022,9373.75,8023.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
34,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2023,9436.09,8255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
35,UNITED STATES OF AMERICA,VOGTLE-2,PWR,Operational,2024,10179.43,8734.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=719
