,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1985,2773.07,3372.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
1,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1986,7308.38,6921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
2,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1987,7434.08,7085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
3,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1988,6548.41,6468.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
4,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1989,7609.43,7136.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
5,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1990,8604.23,8079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
6,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1991,7274.94,6869.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
7,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1992,7622.16,7213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
8,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1993,9138.83,8691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
9,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1994,7931.92,7555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
10,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1995,7763.45,7241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
11,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1996,8926.85,8237.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
12,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1997,6720.68,6161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
13,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1998,8620.78,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
14,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,1999,7441.74,6905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
15,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2000,8477.38,7743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
16,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2001,9539.06,8718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
17,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2002,8847.93,8136.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
18,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2003,8503.13,7865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
19,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2004,9654.42,8771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
20,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2005,7913.75,6975.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
21,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2006,9279.81,7996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
22,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2007,9893.0,8423.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
23,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2008,9053.98,7703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
24,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2009,8956.07,7648.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
25,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2010,10276.18,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
26,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2011,8942.35,7876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
27,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2012,7880.31,6820.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
28,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2013,9386.86,8176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
29,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2014,9166.31,7999.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
30,UNITED STATES OF AMERICA,WATERFORD-3,PWR,Operational,2015,8405.17,7300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=695
