,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,1996,5544.23,5491.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
1,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,1997,7600.09,7269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
2,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,1998,9680.98,8672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
3,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,1999,8267.43,7606.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
4,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2000,9076.39,8124.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
5,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2001,9626.58,8419.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
6,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2002,9079.35,7998.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
7,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2003,8549.61,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
8,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2004,9856.92,8680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
9,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2005,8816.42,7841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
10,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2006,6697.05,6099.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
11,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2007,10049.69,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
12,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2008,8112.31,7247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
13,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2009,9207.46,8055.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
14,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2010,9738.46,8544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
15,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2011,8230.98,7386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
16,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2012,8516.47,7557.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
17,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2013,9967.8,8709.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
18,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2014,8789.69,7769.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
19,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2015,8449.15,7609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
20,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2016,9441.96,8656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
21,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2017,8622.85,7529.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
22,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2018,8840.45,7637.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
23,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2019,8735.99,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
24,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2020,9075.1,7996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
25,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2021,8246.82,7900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
26,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2022,9979.1,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
27,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2023,9253.94,8100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
28,UNITED STATES OF AMERICA,WATTS BAR-1,PWR,Operational,2024,8550.6,7484.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=699
