,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
4,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1971,507.1,5374.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
5,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1972,236.7,2477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
6,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1973,528.3,5346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
7,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1974,489.1,4998.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
8,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1975,533.6,5337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
9,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1976,421.0,4610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
10,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1977,536.0,5737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
11,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1978,551.0,5864.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
12,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1979,538.0,5780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
13,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1980,565.0,5980.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
14,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1981,491.0,5650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
15,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1982,542.0,6228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
16,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1983,651.0,6468.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
17,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1984,546.0,5831.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
18,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1985,388.8,4157.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
19,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1986,538.0,5825.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
20,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1987,518.0,5619.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
21,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1988,492.0,5331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
22,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1989,423.29,4594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
23,UNITED KINGDOM,WINFRITH SGHWR,SGHWR,Permanent Shutdown,1990,368.0,4064.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=239
