,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1985,3814.03,4350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
1,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1986,6966.06,6416.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
2,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1987,6504.14,6009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
3,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1988,6676.39,5963.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
4,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1989,9709.26,8618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
5,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1990,7889.14,7036.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
6,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1991,5891.38,6288.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
7,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1992,8490.66,7538.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
8,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1993,7908.61,7000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
9,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1994,8545.97,7500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
10,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1995,10062.18,8625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
11,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1996,8233.68,7078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
12,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1997,8447.47,7255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
13,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1998,10400.72,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
14,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,1999,9156.62,7847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
15,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2000,9071.4,7795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
16,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2001,10346.66,8731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
17,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2002,9041.7,7695.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
18,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2003,8902.46,7594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
19,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2004,10132.74,8650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
20,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2005,8820.95,7528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
21,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2006,9350.27,7935.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
22,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2007,10369.14,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
23,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2008,8505.89,7271.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
24,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2009,8768.55,7541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
25,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2010,9555.71,8163.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
26,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2011,7350.65,6333.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
27,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2012,8295.93,7014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
28,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2013,7175.89,6210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
29,UNITED STATES OF AMERICA,WOLF CREEK,PWR,Operational,2014,8569.17,7161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=751
