,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,1997,3294.95,5296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
1,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,1998,4788.68,7144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
2,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,1999,5211.77,7754.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
3,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2000,5346.81,7843.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
4,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2001,5585.43,8188.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
5,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2002,5265.98,7717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
6,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2003,5480.58,8015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
7,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2004,5465.46,8015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
8,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2005,5641.29,8243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
9,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2006,5975.85,8711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
10,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2007,5618.82,7948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
11,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2008,5700.28,8081.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
12,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2009,5845.94,8265.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
13,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2010,5774.27,8152.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
14,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2011,6124.72,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
15,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2012,5572.93,8187.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
16,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2013,4797.42,7207.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
17,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2014,5194.82,7954.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
18,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2015,5143.35,7921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
19,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2016,4219.27,6525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
20,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2017,4981.05,7947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
21,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2018,4449.94,7190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
22,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2019,4840.92,7920.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
23,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2020,3900.78,6558.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
24,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2021,4781.06,8248.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
25,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2022,2059.85,3578.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
26,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2023,4350.62,7539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
27,"KOREA, REPUBLIC OF",WOLSONG-2,PHWR,Operational,2024,4138.02,7072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=408
