,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1971,21.3,57.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
1,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1972,573.5,1501.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
2,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1973,1966.9,4338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
3,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1974,466.3,966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
4,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1975,1748.3,4078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
5,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1976,3679.1,7269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
6,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1977,3639.3,7107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
7,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1978,2741.2,5456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
8,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1979,1529.0,3144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
9,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1980,3798.0,8324.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
10,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1981,3627.4,7372.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
11,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1982,1101.6,3474.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
12,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1983,1418.0,2420.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
13,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1984,4479.0,7101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
14,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1985,4642.79,7947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
15,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1986,4822.52,7807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
16,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1987,4731.32,7929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
17,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1988,4654.86,7747.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
18,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1989,3787.14,6241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
19,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1990,1091.49,1795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
20,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1991,4080.23,6792.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
21,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1992,3788.01,6366.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
22,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1993,3930.65,7472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
23,GERMANY,WUERGASSEN,BWR,Permanent Shutdown,1994,3364.36,5668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=136
