,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1971,653.04,3251.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
1,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1972,1513.15,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
2,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1973,1118.45,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
3,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1974,2182.0,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
4,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1975,791.5,4437.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
5,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1976,2409.0,8633.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
6,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1977,2492.0,8008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
7,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1978,1900.5,7739.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
8,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1979,2600.0,8694.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
9,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1980,2882.0,8609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
10,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1981,3117.0,8823.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
11,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1982,3020.0,8700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
12,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1983,3148.0,8715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
13,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1984,3378.5,8728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
14,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1985,3341.25,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
15,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1986,2049.95,7939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
16,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1987,2249.7,8611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
17,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1988,3086.18,8530.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
18,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1989,3307.02,8572.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
19,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1990,3373.2,8549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
20,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1991,3725.65,8374.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
21,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1992,3897.59,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
22,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1993,3607.61,8477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
23,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1994,3055.49,6933.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
24,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1995,3765.93,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
25,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1996,3150.52,7445.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
26,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1997,3979.38,8342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
27,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1998,3329.14,7128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
28,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,1999,4035.42,8656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
29,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,2000,887.01,2208.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
30,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,2001,1286.37,3198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
31,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,2002,3417.23,7385.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
32,UNITED KINGDOM,WYLFA-2,GCR,Permanent Shutdown,2003,3354.41,7544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=241
