,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,YANGJIANG-3,PWR,Operational,2015,478.68,890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
1,CHINA,YANGJIANG-3,PWR,Operational,2016,7593.85,7559.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
2,CHINA,YANGJIANG-3,PWR,Operational,2017,7396.07,7435.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
3,CHINA,YANGJIANG-3,PWR,Operational,2018,7926.66,8028.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
4,CHINA,YANGJIANG-3,PWR,Operational,2019,8621.67,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
5,CHINA,YANGJIANG-3,PWR,Operational,2020,6600.21,7039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
6,CHINA,YANGJIANG-3,PWR,Operational,2021,7804.98,7978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
7,CHINA,YANGJIANG-3,PWR,Operational,2022,8991.99,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
8,CHINA,YANGJIANG-3,PWR,Operational,2023,8071.11,8087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
9,CHINA,YANGJIANG-3,PWR,Operational,2024,8156.23,8189.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=931
