,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
10,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1970,1281.0,7213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
11,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1971,1519.9,8522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
12,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1972,690.2,4712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
13,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1973,1046.1,6244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
14,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1974,911.5,6099.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
15,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1975,1193.4,7218.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
16,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1976,1252.1,7886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
17,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1977,1025.1,6472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
18,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1978,1193.5,7093.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
19,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1979,1232.2,7147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
20,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1980,291.8,1933.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
21,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1981,885.1,6516.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
22,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1982,882.2,6427.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
23,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1983,1343.1,8000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
24,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1984,1026.16,6269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
25,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1985,1181.67,7473.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
26,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1986,1392.72,8320.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
27,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1987,1135.61,7099.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
28,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1988,1116.89,7424.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
29,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1989,1307.1,7978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
30,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1990,826.4,5272.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
31,UNITED STATES OF AMERICA,YANKEE NPS,PWR,Permanent Shutdown,1991,992.07,6288.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=638
