,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1985,443.92,718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
1,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1986,5651.61,6417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
2,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1987,6058.32,6675.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
3,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1988,6088.56,7253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
4,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1989,3050.89,3393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
5,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1990,1869.06,2165.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
6,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1991,4583.92,5112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
7,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1992,6551.69,7016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
8,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1993,4386.11,6194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
9,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1994,4103.48,5924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
10,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1995,5051.78,7329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
11,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1996,5373.03,6247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
12,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1997,6081.68,6745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
13,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1998,4922.76,5601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
14,UKRAINE,ZAPOROZHYE-2,PWR,Operational,1999,5476.01,5887.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
15,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2000,5626.39,6281.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
16,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2001,5867.64,6422.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
17,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2002,6315.64,6834.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
18,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2003,6742.37,7387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
19,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2004,6944.29,7531.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
20,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2005,6303.15,7332.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
21,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2006,6644.71,7297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
22,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2007,7064.48,7528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
23,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2008,6763.54,7470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
24,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2009,6127.91,7206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
25,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2010,6674.39,7180.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
26,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2011,6155.3,6881.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
27,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2012,6046.82,7202.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
28,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2013,5857.28,7464.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
29,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2014,6307.66,6811.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
30,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2015,5210.05,5982.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
31,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2016,2595.13,3041.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
32,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2017,5361.2,8387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
33,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2018,5104.8,5883.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
34,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2019,4691.92,5002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
35,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2020,5114.55,5783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
36,UKRAINE,ZAPOROZHYE-2,PWR,Operational,2021,6238.32,6587.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=586
