,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1974,1271.2,2580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
2,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1975,4829.2,6320.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
3,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1976,4672.3,5426.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
4,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1977,6275.3,6645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
5,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1978,6732.2,7032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
6,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1979,4759.9,5880.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
7,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1980,5278.2,5859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
8,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1981,5256.7,6361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
9,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1982,5158.0,6076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
10,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1983,6195.9,6404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
11,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1984,6001.5,6177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
12,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1985,5130.16,5901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
13,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1986,7346.9,7370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
14,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1987,5131.9,5383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
15,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1988,6652.74,6847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
16,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1989,7694.44,8222.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
17,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1990,2646.41,2960.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
18,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1991,5131.91,5430.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
19,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1992,5365.06,5746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
20,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1993,5292.18,5426.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
21,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1994,6151.49,6192.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
22,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1995,5922.4,6210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
23,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1996,5608.47,5687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
24,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
25,UNITED STATES OF AMERICA,ZION-2,PWR,Permanent Shutdown,1998,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=646
