,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,ARGENTINA,ATUCHA-1,PHWR,Operational,1974,947.5,4458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
1,ARGENTINA,ATUCHA-1,PHWR,Operational,1975,2357.8,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
2,ARGENTINA,ATUCHA-1,PHWR,Operational,1976,2408.6,7808.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
3,ARGENTINA,ATUCHA-1,PHWR,Operational,1977,1537.0,4650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
4,ARGENTINA,ATUCHA-1,PHWR,Operational,1978,2711.81,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
5,ARGENTINA,ATUCHA-1,PHWR,Operational,1979,2503.7,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
6,ARGENTINA,ATUCHA-1,PHWR,Operational,1980,2180.5,6947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
7,ARGENTINA,ATUCHA-1,PHWR,Operational,1981,2647.6,8120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
8,ARGENTINA,ATUCHA-1,PHWR,Operational,1982,1753.6,5600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
9,ARGENTINA,ATUCHA-1,PHWR,Operational,1983,2356.0,8101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
10,ARGENTINA,ATUCHA-1,PHWR,Operational,1984,1706.12,8678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
11,ARGENTINA,ATUCHA-1,PHWR,Operational,1985,1470.45,7159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
12,ARGENTINA,ATUCHA-1,PHWR,Operational,1986,2204.96,7532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
13,ARGENTINA,ATUCHA-1,PHWR,Operational,1987,1405.8,4391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
14,ARGENTINA,ATUCHA-1,PHWR,Operational,1988,808.1,2515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
15,ARGENTINA,ATUCHA-1,PHWR,Operational,1990,1722.59,7201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
16,ARGENTINA,ATUCHA-1,PHWR,Operational,1991,2721.89,8390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
17,ARGENTINA,ATUCHA-1,PHWR,Operational,1992,2230.24,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
18,ARGENTINA,ATUCHA-1,PHWR,Operational,1993,2403.66,7287.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
19,ARGENTINA,ATUCHA-1,PHWR,Operational,1994,2651.86,7916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
20,ARGENTINA,ATUCHA-1,PHWR,Operational,1995,2671.71,8376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
21,ARGENTINA,ATUCHA-1,PHWR,Operational,1996,2038.8,6990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
22,ARGENTINA,ATUCHA-1,PHWR,Operational,1997,2720.14,8329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
23,ARGENTINA,ATUCHA-1,PHWR,Operational,1998,2374.36,7242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
24,ARGENTINA,ATUCHA-1,PHWR,Operational,1999,1395.5,4364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
25,ARGENTINA,ATUCHA-1,PHWR,Operational,2000,1677.85,5038.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
26,ARGENTINA,ATUCHA-1,PHWR,Operational,2001,1425.96,4407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
27,ARGENTINA,ATUCHA-1,PHWR,Operational,2002,1011.5,3030.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
28,ARGENTINA,ATUCHA-1,PHWR,Operational,2003,2020.6,6094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
29,ARGENTINA,ATUCHA-1,PHWR,Operational,2004,2725.01,8250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
30,ARGENTINA,ATUCHA-1,PHWR,Operational,2005,1997.96,7004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
31,ARGENTINA,ATUCHA-1,PHWR,Operational,2006,2100.55,6403.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
32,ARGENTINA,ATUCHA-1,PHWR,Operational,2007,2718.74,8300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
33,ARGENTINA,ATUCHA-1,PHWR,Operational,2008,2481.26,7562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
34,ARGENTINA,ATUCHA-1,PHWR,Operational,2009,2397.18,7296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
35,ARGENTINA,ATUCHA-1,PHWR,Operational,2010,2782.75,8560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
36,ARGENTINA,ATUCHA-1,PHWR,Operational,2011,2334.46,7289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
37,ARGENTINA,ATUCHA-1,PHWR,Operational,2012,2477.36,7521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
38,ARGENTINA,ATUCHA-1,PHWR,Operational,2013,2449.53,7310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
39,ARGENTINA,ATUCHA-1,PHWR,Operational,2014,2631.71,7875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
40,ARGENTINA,ATUCHA-1,PHWR,Operational,2015,1951.35,6109.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
41,ARGENTINA,ATUCHA-1,PHWR,Operational,2016,2476.82,7700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
42,ARGENTINA,ATUCHA-1,PHWR,Operational,2017,2359.66,7832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
43,ARGENTINA,ATUCHA-1,PHWR,Operational,2018,2274.09,7393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
44,ARGENTINA,ATUCHA-1,PHWR,Operational,2019,2392.4,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
45,ARGENTINA,ATUCHA-1,PHWR,Operational,2020,2680.41,8067.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
46,ARGENTINA,ATUCHA-1,PHWR,Operational,2021,2318.78,7243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
47,ARGENTINA,ATUCHA-1,PHWR,Operational,2022,2034.01,6528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
48,ARGENTINA,ATUCHA-1,PHWR,Operational,2023,2197.12,6855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
49,ARGENTINA,ATUCHA-1,PHWR,Operational,2024,2055.74,6284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3
50,ARGENTINA,ATUCHA-2,PHWR,Operational,2014,1093.35,3071.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
51,ARGENTINA,ATUCHA-2,PHWR,Operational,2015,3925.92,6928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
52,ARGENTINA,ATUCHA-2,PHWR,Operational,2016,5200.54,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
53,ARGENTINA,ATUCHA-2,PHWR,Operational,2017,3356.61,5130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
54,ARGENTINA,ATUCHA-2,PHWR,Operational,2018,4178.88,6448.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
55,ARGENTINA,ATUCHA-2,PHWR,Operational,2019,1748.39,7001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
56,ARGENTINA,ATUCHA-2,PHWR,Operational,2020,2421.87,6155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
57,ARGENTINA,ATUCHA-2,PHWR,Operational,2021,3510.88,7217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
58,ARGENTINA,ATUCHA-2,PHWR,Operational,2022,1259.03,3381.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
59,ARGENTINA,ATUCHA-2,PHWR,Operational,2023,1541.93,2958.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
60,ARGENTINA,ATUCHA-2,PHWR,Operational,2024,4111.75,6836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
61,ARGENTINA,EMBALSE,PHWR,Operational,1983,815.4,2098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
